elapsed_s	mem_available	cached	dirty	writeback	swap_free_delta	cg_current	cg_peak	cg_max	cg_high	cg_headroom	cg_anon	cg_file	cg_file_mapped	cg_file_dirty	cg_file_writeback	cg_swap_current	cg_swap_max	event_high	event_max	event_oom	event_oom_kill	swap_event_max	psi_full_avg10	pswpin_delta	pswpout_delta	host_oom_kill_delta	pack_version	pack_layers	health
64.0	75296788480	45310455808	734228480	4096	3313664	50690109440	51802677248	88046829568	83751862272	33061752832	7022747648	43343114240	38391742464	730267648	0	0	4294967296	0	0	0	0	0	0.0	23	0	0	2	16	0
65.0	77920591872	41749286912	6664192	0	3313664	44262043648	51802677248	88046829568	83751862272	39489818624	4192837632	39784792064	35540766720	512000	0	0	4294967296	0	0	0	0	0	0.0	23	0	0	2	17	0
66.0	75034894336	44581433344	6746112	0	3313664	49939079168	51802677248	88046829568	83751862272	33812783104	7022858240	42613805056	38370615296	512000	0	0	4294967296	0	0	0	0	0	0.0	24	0	0	2	17	0
67.1	77866864640	44610400256	2400256	0	3313664	46539468800	51802677248	88046829568	83751862272	37212393472	3600289792	42642866176	38400761856	225280	0	0	4294967296	0	0	0	0	0	0.0	24	0	0	2	18	0
68.1	77353291776	43446865920	3018752	0	3313664	47670329344	51802677248	88046829568	83751862272	36081532928	5890281472	41482526720	37259288576	225280	0	0	4294967296	0	0	0	0	0	0.0	24	0	0	2	18	0
69.1	75918594048	44581244928	3702784	0	3313664	50539323392	51802677248	88046829568	83751862272	33212538880	7623000064	42613657600	38391742464	225280	0	0	4294967296	0	0	0	0	0	0.0	24	0	0	2	18	0
70.1	79379890176	41445249024	4087808	0	3313664	43655712768	51802677248	88046829568	83751862272	40096149504	3890241536	39482097664	35237924864	278528	0	0	4294967296	0	0	0	0	0	0.0	24	0	0	2	19	0
71.1	76388634624	44581777408	4087808	0	3313664	49939910656	51802677248	88046829568	83751862272	33811951616	7023058944	42614169600	38370615296	278528	0	0	4294967296	0	0	0	0	0	0.0	25	0	0	2	19	0
72.1	76117184512	44581904384	3465216	0	3313664	48751439872	51802677248	88046829568	83751862272	35000422400	5833830400	42614362112	38370615296	335872	0	0	4294967296	0	0	0	0	0	0.0	25	0	0	2	20	0
73.1	75054391296	44581588992	3477504	0	3313664	51149950976	51802677248	88046829568	83751862272	32601911296	8231129088	42614030336	38391742464	335872	0	0	4294967296	0	0	0	0	0	0.0	25	0	0	2	20	0
