elapsed_s	mem_available	cached	dirty	writeback	swap_free_delta	cg_current	cg_peak	cg_max	cg_high	cg_headroom	cg_anon	cg_file	cg_file_mapped	cg_file_dirty	cg_file_writeback	cg_swap_current	cg_swap_max	event_high_delta	event_max_delta	event_oom_delta	event_oom_kill_delta	swap_event_max_delta	psi_full_avg10	pswpin_delta	pswpout_delta	host_oom_kill_delta	pack_version	pack_layers	health
63.9	106046472192	9609084928	7249920	0	0	19397558272	22386843648	107374182400	103079215104	87976624128	10981040128	8251760640	4032430080	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	8	0
64.9	106349850624	12291358720	2696814592	0	0	21629562880	22386843648	107374182400	103079215104	85744619520	10450075648	10944503808	4032430080	2690654208	0	0	0	0	0	0	0	0	0.0	0	0	0	2	8	0
66.0	106366296064	13021167616	1354620928	538968064	0	22377377792	22386843648	107374182400	103079215104	84996804608	10450075648	11674312704	4032430080	1348476928	538968064	0	0	0	0	0	0	0	0.0	0	0	0	2	8	0
67.0	105807478784	9598767104	2703360	0	0	19255898112	22386843648	107374182400	103079215104	88118284288	10843582464	8251760640	4032430080	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	9	0
68.0	108871806976	9627910144	2969600	0	0	15461072896	22386843648	107374182400	103079215104	91913109504	7027507200	8280961024	4062642176	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	9	0
69.0	106697789440	8801681408	3661824	0	0	17271500800	22386843648	107374182400	103079215104	90102681600	9653325824	7457800192	3214528512	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	9	0
70.0	103726841856	9599311872	4591616	0	0	21015232512	22386843648	107374182400	103079215104	86358949888	12597563392	8252088320	4011241472	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	9	0
71.0	105442463744	13022900224	164196352	587202560	0	22379573248	22386843648	107374182400	103079215104	84994609152	10450075648	11674640384	4011241472	153100288	593494016	0	0	0	0	0	0	0	0.0	0	0	0	2	9	0
72.0	106660319232	11412299776	203988992	538968064	0	20725116928	22386843648	107374182400	103079215104	86649065472	10450075648	10064027648	4011241472	199237632	538968064	0	0	0	0	0	0	0	0.0	0	0	0	2	10	0
73.1	110310752256	6612418560	5263360	0	0	12877455360	22386843648	107374182400	103079215104	94496727040	7464464384	5266665472	1046827008	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	10	0
74.1	107605176320	9599692800	5492736	0	0	18864930816	22386843648	107374182400	103079215104	88509251584	10450075648	8251760640	4032368640	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	10	0
75.1	107087081472	9962876928	368304128	0	0	19239768064	22386843648	107374182400	103079215104	88134414336	10450075648	8616665088	4032368640	362815488	0	0	0	0	0	0	0	0	0.0	0	0	0	2	10	0
76.1	107053281280	13022621696	1815334912	538968064	0	22381039616	22386843648	107374182400	103079215104	84993142784	10450075648	11674312704	4032368640	1809850368	538968064	0	0	0	0	0	0	0	0.0	0	0	0	2	10	0
77.1	107056136192	13022679040	146001920	538968064	0	22380888064	22386843648	107374182400	103079215104	84993294336	10450075648	11674312704	4032368640	140517376	538968064	0	0	0	0	0	0	0	0.0	0	0	0	2	10	0
78.1	107149537280	11412070400	1278480384	538968064	0	20726038528	22386843648	107374182400	103079215104	86648143872	10450075648	10063699968	4032368640	1272979456	538968064	0	0	0	0	0	0	0	0.0	0	0	0	2	11	0
79.1	110229913600	9629253632	5509120	0	0	15464505344	22386843648	107374182400	103079215104	91909677056	7027507200	8280973312	4062646272	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	11	0
80.2	108513243136	8711675904	5525504	0	0	17087209472	22386843648	107374182400	103079215104	90286972928	9563369472	7366041600	3124572160	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	11	0
81.2	105483730944	9600188416	5529600	0	0	21016522752	22386843648	107374182400	103079215104	86357659648	12597563392	8252100608	4011241472	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	11	0
82.2	107156439040	13023076352	2629001216	538968064	0	22380732416	22386843648	107374182400	103079215104	84993449984	10450079744	11674652672	4011241472	2623545344	538968064	0	0	0	0	0	0	0	0.0	0	0	0	2	11	0
83.2	107140014080	13023084544	615743488	538968064	0	22380732416	22386843648	107374182400	103079215104	84993449984	10450079744	11674652672	4011241472	610279424	538968064	0	0	0	0	0	0	0	0.0	0	0	0	2	11	0
84.2	106922962944	9600536576	5480448	0	0	19426152448	22386843648	107374182400	103079215104	87948029952	11009957888	8252100608	4011241472	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	12	0
85.2	107164864512	11412475904	137633792	538968064	0	20725657600	22386843648	107374182400	103079215104	86648524800	10450079744	10064039936	4011241472	132128768	538968064	0	0	0	0	0	0	0	0.0	0	0	0	2	12	0
86.2	110310961152	6933360640	5525504	0	0	13519962112	22386843648	107374182400	103079215104	93854220288	7785324544	5587587072	1367625728	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	12	0
87.3	107684757504	9601339392	6275072	0	0	18865192960	22386843648	107374182400	103079215104	88508989440	10450157568	8251768832	4032368640	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	12	0
88.3	107199586304	10879340544	1282899968	0	0	20181045248	22386843648	107374182400	103079215104	87193137152	10450161664	9531031552	4032368640	1277173760	0	0	0	0	0	0	0	0	0.0	0	0	0	2	12	0
89.3	107188436992	13024825344	1488658432	538968064	0	22380957696	22386843648	107374182400	103079215104	84993224704	10450161664	11674320896	4032368640	1482694656	538968064	0	0	0	0	0	0	0	0.0	0	0	0	2	12	0
90.3	106958802944	12813053952	6107136	0	0	22179360768	22386843648	107374182400	103079215104	85194821632	10450161664	11458314240	4032368640	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	12	0
91.3	107028553728	11414319104	1010642944	538968064	0	20725919744	22386843648	107374182400	103079215104	86648262656	10450161664	10063708160	4032368640	1004544000	538968064	0	0	0	0	0	0	0	0.0	0	0	0	2	13	0
92.3	110505127936	6062825472	6111232	0	0	11887886336	22386843648	107374182400	103079215104	95486296064	7027593216	4712210432	4062646272	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	13	0
93.3	107543048192	9533091840	6098944	0	0	18735480832	22386843648	107374182400	103079215104	88638701568	10383966208	8187265024	3945041920	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	13	0
94.4	105865629696	9602732032	6656000	0	0	19552124928	22386843648	107374182400	103079215104	87822057472	11135717376	8252108800	4011241472	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	13	0
